store_id,employee_id,assigned_role,date,shift_start,shift_end,duration
S035,E02721,Cashier,2026-05-04,8,16,8
S035,E02721,Cashier,2026-05-05,16,21,5
S035,E02721,Cashier,2026-05-06,8,16,8
S035,E02721,Cashier,2026-05-09,8,16,8
S035,E02723,Cashier,2026-05-03,8,16,8
S035,E02723,Cashier,2026-05-04,16,21,5
S035,E02723,Cashier,2026-05-05,8,16,8
S035,E02723,Cashier,2026-05-07,16,22,6
S035,E02723,Cashier,2026-05-08,8,16,8
S035,E02723,Cashier,2026-05-09,16,21,5
S035,E02724,Cashier,2026-05-06,16,22,6
S035,E02725,Supervisor,2026-05-04,8,16,8
S035,E02725,Supervisor,2026-05-05,8,16,8
S035,E02725,Supervisor,2026-05-07,8,16,8
S035,E02726,Stock,2026-05-06,8,16,8
S035,E02726,Stock,2026-05-07,8,16,8
S035,E02726,Stock,2026-05-08,16,21,5
S035,E02727,Customer Service,2026-05-03,16,21,5
S035,E02727,Customer Service,2026-05-04,8,16,8
S035,E02727,Customer Service,2026-05-05,8,16,8
S035,E02727,Customer Service,2026-05-06,8,16,8
S035,E02727,Customer Service,2026-05-07,16,22,6
S035,E02727,Customer Service,2026-05-09,16,21,5
S035,E02728,Cashier,2026-05-03,8,16,8
S035,E02728,Cashier,2026-05-04,16,21,5
S035,E02729,Stock,2026-05-03,16,21,5
S035,E02729,Stock,2026-05-06,8,16,8
S035,E02729,Stock,2026-05-07,8,16,8
S035,E02730,Floor,2026-05-03,16,21,5
S035,E02730,Floor,2026-05-07,8,16,8
S035,E02731,Supervisor,2026-05-04,14,22,8
S035,E02731,Supervisor,2026-05-05,14,22,8
S035,E02732,Supervisor,2026-05-03,8,16,8
S035,E02732,Supervisor,2026-05-07,14,22,8
S035,E02732,Supervisor,2026-05-08,8,16,8
S035,E02732,Supervisor,2026-05-09,14,22,8
S035,E02733,Cashier,2026-05-03,16,21,5
S035,E02733,Cashier,2026-05-04,16,22,6
S035,E02733,Cashier,2026-05-06,16,21,5
S035,E02733,Cashier,2026-05-07,8,16,8
S035,E02733,Cashier,2026-05-09,16,21,5
S035,E02734,Cashier,2026-05-03,16,21,5
S035,E02734,Cashier,2026-05-06,16,22,6
S035,E02734,Cashier,2026-05-08,16,21,5
S035,E02734,Cashier,2026-05-09,16,22,6
S035,E02735,Floor,2026-05-06,8,16,8
S035,E02735,Floor,2026-05-09,16,21,5
S035,E02736,Cashier,2026-05-05,16,22,6
S035,E02736,Cashier,2026-05-09,8,16,8
S035,E02737,Cashier,2026-05-03,16,21,5
S035,E02737,Cashier,2026-05-06,8,16,8
S035,E02737,Cashier,2026-05-07,8,16,8
S035,E02737,Cashier,2026-05-08,10,18,8
S035,E02738,Stock,2026-05-03,8,16,8
S035,E02739,Stock,2026-05-04,8,16,8
S035,E02740,Cashier,2026-05-05,16,21,5
S035,E02740,Cashier,2026-05-07,16,21,5
S035,E02740,Cashier,2026-05-08,15,20,5
S035,E02740,Cashier,2026-05-09,16,21,5
S035,E02741,Floor,2026-05-04,8,16,8
S035,E02741,Floor,2026-05-07,16,22,6
S035,E02742,Stock,2026-05-03,16,21,5
S035,E02742,Stock,2026-05-09,16,22,6
S035,E02744,Cashier,2026-05-03,16,22,6
S035,E02744,Cashier,2026-05-04,8,16,8
S035,E02744,Cashier,2026-05-07,15,20,5
S035,E02744,Cashier,2026-05-08,8,16,8
S035,E02744,Cashier,2026-05-09,16,21,5
S035,E02745,Stock,2026-05-09,8,16,8
S035,E02746,Cashier,2026-05-07,16,21,5
S035,E02747,Cashier,2026-05-03,16,21,5
S035,E02747,Cashier,2026-05-06,8,16,8
S035,E02747,Cashier,2026-05-09,16,21,5
S035,E02748,Cashier,2026-05-05,8,16,8
S035,E02748,Cashier,2026-05-06,16,21,5
S035,E02748,Cashier,2026-05-08,16,22,6
S035,E02749,Cashier,2026-05-03,16,21,5
S035,E02749,Cashier,2026-05-09,16,22,6
S035,E02750,Floor,2026-05-03,8,16,8
S035,E02750,Floor,2026-05-04,16,21,5
S035,E02750,Floor,2026-05-07,16,22,6
S035,E02750,Floor,2026-05-09,15,20,5
S035,E02751,Stock,2026-05-08,8,16,8
S035,E02752,Customer Service,2026-05-03,16,22,6
S035,E02752,Customer Service,2026-05-04,16,21,5
S035,E02752,Customer Service,2026-05-05,16,21,5
S035,E02752,Customer Service,2026-05-06,16,22,6
S035,E02752,Customer Service,2026-05-07,16,21,5
S035,E02752,Customer Service,2026-05-08,16,21,5
S035,E02752,Customer Service,2026-05-09,8,16,8
S035,E02753,Supervisor,2026-05-03,14,22,8
S035,E02753,Supervisor,2026-05-04,14,22,8
S035,E02753,Supervisor,2026-05-05,14,22,8
S035,E02753,Supervisor,2026-05-08,14,22,8
S035,E02753,Supervisor,2026-05-09,8,16,8
S035,E02754,Supervisor,2026-05-03,14,22,8
S035,E02754,Supervisor,2026-05-06,14,22,8
S035,E02754,Supervisor,2026-05-08,14,22,8
S035,E02754,Supervisor,2026-05-09,14,22,8
S035,E02755,Customer Service,2026-05-03,8,16,8
S035,E02755,Customer Service,2026-05-04,16,21,5
S035,E02755,Customer Service,2026-05-06,16,21,5
S035,E02755,Customer Service,2026-05-07,8,16,8
S035,E02755,Customer Service,2026-05-08,8,16,8
S035,E02755,Customer Service,2026-05-09,14,20,6
S035,E02756,Cashier,2026-05-05,10,18,8
S035,E02756,Cashier,2026-05-08,16,21,5
S035,E02756,Cashier,2026-05-09,15,20,5
S035,E02759,Stock,2026-05-07,16,21,5
S035,E02759,Stock,2026-05-09,8,16,8
S035,E02760,Supervisor,2026-05-03,14,22,8
S035,E02760,Supervisor,2026-05-06,14,22,8
S035,E02760,Supervisor,2026-05-07,14,22,8
S035,E02761,Stock,2026-05-03,16,21,5
S035,E02762,Floor,2026-05-03,13,18,5
S035,E02762,Floor,2026-05-05,15,20,5
S035,E02762,Floor,2026-05-06,16,22,6
S035,E02762,Floor,2026-05-09,16,22,6
S035,E02765,Stock,2026-05-07,16,22,6
S035,E02766,Floor,2026-05-03,16,21,5
S035,E02766,Floor,2026-05-04,16,21,5
S035,E02766,Floor,2026-05-06,16,21,5
S035,E02766,Floor,2026-05-07,8,16,8
S035,E02766,Floor,2026-05-09,8,16,8
S035,E02767,Floor,2026-05-03,16,21,5
S035,E02767,Floor,2026-05-09,8,16,8
S035,E02768,Stock,2026-05-05,16,22,6
S035,E02768,Stock,2026-05-06,16,21,5
S035,E02768,Stock,2026-05-07,16,21,5
S035,E02768,Stock,2026-05-09,16,22,6
S035,E02769,Cashier,2026-05-03,16,21,5
S035,E02770,Cashier,2026-05-04,16,21,5
S035,E02770,Cashier,2026-05-05,16,22,6
S035,E02770,Cashier,2026-05-07,16,22,6
S035,E02771,Floor,2026-05-03,8,16,8
S035,E02771,Floor,2026-05-04,16,22,6
S035,E02771,Floor,2026-05-05,8,16,8
S035,E02771,Floor,2026-05-07,16,21,5
S035,E02771,Floor,2026-05-08,16,21,5
S035,E02771,Floor,2026-05-09,16,22,6
S035,E02772,Supervisor,2026-05-06,8,16,8
S035,E02773,Floor,2026-05-04,8,16,8
S035,E02773,Floor,2026-05-06,16,21,5
S035,E02773,Floor,2026-05-07,16,21,5
S035,E02773,Floor,2026-05-08,16,21,5
S035,E02774,Cashier,2026-05-09,8,16,8
S035,E02776,Floor,2026-05-06,8,16,8
S035,E02776,Floor,2026-05-09,8,16,8
S035,E02778,Cashier,2026-05-03,13,18,5
S035,E02778,Cashier,2026-05-04,16,21,5
S035,E02778,Cashier,2026-05-07,16,21,5
S035,E02779,Floor,2026-05-05,16,21,5
S035,E02779,Floor,2026-05-06,16,21,5
S035,E02779,Floor,2026-05-07,8,16,8
S035,E02779,Floor,2026-05-08,16,22,6
S035,E02780,Stock,2026-05-05,8,16,8
S035,E02781,Floor,2026-05-03,16,21,5
S035,E02781,Floor,2026-05-05,16,22,6
S035,E02782,Supervisor,2026-05-09,14,22,8
S035,E02783,Floor,2026-05-03,16,21,5
S035,E02783,Floor,2026-05-06,16,22,6
S035,E02783,Floor,2026-05-09,16,21,5
S035,E02784,Floor,2026-05-03,16,22,6
S035,E02784,Floor,2026-05-04,16,21,5
S035,E02784,Floor,2026-05-05,8,16,8
S035,E02784,Floor,2026-05-08,16,22,6
S035,E02784,Floor,2026-05-09,16,21,5
S035,E02786,Stock,2026-05-04,16,21,5
S035,E02786,Stock,2026-05-05,16,21,5
S035,E02786,Stock,2026-05-06,16,22,6
S035,E02786,Stock,2026-05-08,16,21,5
S035,E02786,Stock,2026-05-09,16,21,5
S035,E02787,Cashier,2026-05-03,16,21,5
S035,E02787,Cashier,2026-05-06,16,21,5
S035,E02787,Cashier,2026-05-07,8,16,8
S035,E02789,Floor,2026-05-04,16,22,6
S035,E02789,Floor,2026-05-08,8,16,8
S035,E02791,Cashier,2026-05-08,16,21,5
S035,E02792,Stock,2026-05-03,13,18,5
S035,E02792,Stock,2026-05-04,16,22,6
S035,E02792,Stock,2026-05-06,16,21,5
S035,E02792,Stock,2026-05-09,16,21,5
S035,E02793,Floor,2026-05-05,16,22,6
S035,E02793,Floor,2026-05-07,16,21,5
S035,E02794,Stock,2026-05-08,16,22,6
S035,E02795,Cashier,2026-05-03,16,22,6
S035,E02795,Cashier,2026-05-05,16,22,6
S035,E02795,Cashier,2026-05-06,16,21,5
S035,E02795,Cashier,2026-05-08,16,22,6
S035,E02795,Cashier,2026-05-09,16,22,6
S035,E02796,Stock,2026-05-03,16,22,6
S035,E02796,Stock,2026-05-04,16,21,5
S035,E02796,Stock,2026-05-05,15,21,6
S035,E02797,Floor,2026-05-03,16,21,5
S035,E02797,Floor,2026-05-05,16,21,5
S035,E02797,Floor,2026-05-06,8,16,8
S035,E02797,Floor,2026-05-08,16,21,5
S035,E02797,Floor,2026-05-09,16,22,6
S035,E02798,Cashier,2026-05-03,8,16,8
S035,E02798,Cashier,2026-05-04,16,22,6
S035,E02798,Cashier,2026-05-09,8,16,8
S035,E02799,Floor,2026-05-03,16,22,6
S035,E02799,Floor,2026-05-08,8,16,8
S035,E02799,Floor,2026-05-09,16,21,5
